Día;Ene;Feb
1;29.069,39;29.126,55
2;29.068,46;29.129,37
3;29.067,52;29.132,18
4;29.066,58;29.135,0
5;29.065,64;29.137,81
6;29.064,70;29.14,63
7;29.063,76;29.143,44
8;29.062,83;29.146,26
9;29.061,89;29.149,8
10;29.064,70;29.156,34
11;29.067,51;29.163,61
12;29.07,32;29.17,87
13;29.073,13;29.178,14
14;29.075,93;29.185,41
15;29.078,74;29.192,68
16;29.081,55;29.199,96
17;29.084,36;29.207,23
18;29.087,18;29.214,51
19;29.089,99;29.221,79
20;29.092,80;29.229,7
21;29.095,61;29.236,35
22;29.098,42;29.243,64
23;29.101,23;29.25,92
24;29.104,4,;9.258,21
25;29.106,86;29.265,50
26;29.109,67;29.272,79
27;29.112,48;29.28,9
28;29.115,30;29.287,38
29;29.118,11;
30;29.12,92;
31;29.123,74;
